root@large-insatnce:~/cs553-spring2024-hw5-mdinesh6# ./vault -t 16 -o 16 -i 4 -m 16 -s 64 -f data-64GB.bin
NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=193126051840
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 25204809728 bytes
Free Memory: 4265463808 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[1][HASHGEN]: 0.42% completed, ETA 240.5 seconds, 0/512 flushes, 272.7 MB/sec
[2][HASHGEN]: 0.87% completed, ETA 228.1 seconds, 0/512 flushes, 298.4 MB/sec
[3][HASHGEN]: 1.33% completed, ETA 223.5 seconds, 0/512 flushes, 298.4 MB/sec
[4][HASHGEN]: 1.78% completed, ETA 220.8 seconds, 0/512 flushes, 298.0 MB/sec
[5][HASHGEN]: 2.24% completed, ETA 218.8 seconds, 0/512 flushes, 297.8 MB/sec
[6][HASHGEN]: 2.71% completed, ETA 215.6 seconds, 0/512 flushes, 310.2 MB/sec
[7][HASHGEN]: 3.19% completed, ETA 212.8 seconds, 0/512 flushes, 312.7 MB/sec
[8][HASHGEN]: 3.65% completed, ETA 211.4 seconds, 0/512 flushes, 302.9 MB/sec
[9][HASHGEN]: 4.12% completed, ETA 209.9 seconds, 0/512 flushes, 304.6 MB/sec
[10][HASHGEN]: 4.56% completed, ETA 209.6 seconds, 0/512 flushes, 290.3 MB/sec
[11][HASHGEN]: 5.02% completed, ETA 208.6 seconds, 0/512 flushes, 298.6 MB/sec
[12][HASHGEN]: 5.47% completed, ETA 207.5 seconds, 0/512 flushes, 298.6 MB/sec
[13][HASHGEN]: 5.93% completed, ETA 206.5 seconds, 0/512 flushes, 298.7 MB/sec
[14][HASHGEN]: 6.39% completed, ETA 205.5 seconds, 0/512 flushes, 298.6 MB/sec
[15][HASHGEN]: 6.84% completed, ETA 204.5 seconds, 0/512 flushes, 298.5 MB/sec
[16][HASHGEN]: 7.30% completed, ETA 203.5 seconds, 0/512 flushes, 298.3 MB/sec
[17][HASHGEN]: 7.75% completed, ETA 202.5 seconds, 0/512 flushes, 298.5 MB/sec
[18][HASHGEN]: 8.21% completed, ETA 201.5 seconds, 0/512 flushes, 298.7 MB/sec
